SOC,Title,Task
43-6012.00,Legal Secretaries,Receive and place telephone calls.
43-6012.00,Legal Secretaries,Schedule and make appointments.
43-6012.00,Legal Secretaries,"Make photocopies of correspondence, documents, and other printed matter."
43-6012.00,Legal Secretaries,"Organize and maintain law libraries, documents, and case files."
43-6012.00,Legal Secretaries,"Assist attorneys in collecting information such as employment, medical, and other records."
43-6012.00,Legal Secretaries,"Attend legal meetings, such as client interviews, hearings, or depositions, and take notes."
43-6012.00,Legal Secretaries,Draft and type office memos.
43-6012.00,Legal Secretaries,Review legal publications and perform database searches to identify laws and court decisions relevant to pending cases.
43-6012.00,Legal Secretaries,Submit articles and information from searches to attorneys for review and approval for use.
43-6012.00,Legal Secretaries,"Complete various forms, such as accident reports, trial and courtroom requests, and applications for clients."
43-6013.00,Medical Secretaries,"Schedule and confirm patient diagnostic appointments, surgeries, or medical consultations."
43-6013.00,Medical Secretaries,"Compile and record medical charts, reports, or correspondence, using typewriter or personal computer."
43-6013.00,Medical Secretaries,Answer telephones and direct calls to appropriate staff.
43-6013.00,Medical Secretaries,"Receive and route messages or documents, such as laboratory results, to appropriate staff."
43-6013.00,Medical Secretaries,"Greet visitors, ascertain purpose of visit, and direct them to appropriate staff."
43-6013.00,Medical Secretaries,"Interview patients to complete documents, case histories, or forms, such as intake or insurance forms."
43-6013.00,Medical Secretaries,"Maintain medical records, technical library, or correspondence files."
43-6013.00,Medical Secretaries,"Operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records."
43-6013.00,Medical Secretaries,"Transmit correspondence or medical records by mail, e-mail, or fax."
43-6013.00,Medical Secretaries,"Perform various clerical or administrative functions, such as ordering and maintaining an inventory of supplies."
43-6013.00,Medical Secretaries,Arrange hospital admissions for patients.
43-6013.00,Medical Secretaries,Transcribe recorded messages or practitioners' diagnoses or recommendations into patients' medical records.
43-6013.00,Medical Secretaries,"Perform bookkeeping duties, such as credits or collections, preparing and sending financial statements or bills, and keeping financial records."
43-6013.00,Medical Secretaries,Complete insurance or other claim forms.
43-6013.00,Medical Secretaries,"Prepare correspondence or assist physicians or medical scientists with preparation of reports, speeches, articles, or conference proceedings."
43-9022.00,Word Processors and Typists,"Check completed work for spelling, grammar, punctuation, and format."
43-9022.00,Word Processors and Typists,"Perform other clerical duties such as answering telephone, sorting and distributing mail, running errands or sending faxes."
43-9022.00,Word Processors and Typists,"Gather, register, and arrange the material to be typed, following instructions."
43-9022.00,Word Processors and Typists,"Type correspondence, reports, text and other written material from rough drafts, corrected copies, voice recordings, dictation or previous versions, using a computer, word processor, or typewriter."
43-9022.00,Word Processors and Typists,"File and store completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve, update and delete documents."
43-9022.00,Word Processors and Typists,Print and make copies of work.
43-9022.00,Word Processors and Typists,Keep records of work performed.
43-9022.00,Word Processors and Typists,"Compute and verify totals on report forms, requisitions, or bills, using adding machine or calculator."
43-9022.00,Word Processors and Typists,Collate pages of reports and other documents prepared.
43-9022.00,Word Processors and Typists,"Electronically sort and compile text and numerical data, retrieving, updating, and merging documents as required."
43-9022.00,Word Processors and Typists,"Reformat documents, moving paragraphs or columns."
43-9022.00,Word Processors and Typists,"Search for specific sets of stored, typed characters to make changes."
43-9022.00,Word Processors and Typists,"Adjust settings for format, page layout, line spacing, and other style requirements."
43-9022.00,Word Processors and Typists,"Address envelopes or prepare envelope labels, using typewriter or computer."
43-9022.00,Word Processors and Typists,"Operate and resupply printers and computers, changing print wheels or fluid cartridges, adding paper, and loading blank tapes, cards, or disks into equipment."
43-9022.00,Word Processors and Typists,Transmit work electronically to other locations.
43-9022.00,Word Processors and Typists,"Work with technical material, preparing statistical reports, planning and typing statistical tables, and combining and rearranging material from different sources."
43-9022.00,Word Processors and Typists,"Use data entry devices, such as optical scanners, to input data into computers for revision or editing."
43-9022.00,Word Processors and Typists,Transcribe stenotyped notes of court proceedings.
43-9041.02,Insurance Policy Processing Clerks,"Modify, update, and process existing policies and claims to reflect any change in beneficiary, amount of coverage, or type of insurance."
43-9041.02,Insurance Policy Processing Clerks,Process and record new insurance policies and claims.
43-9041.02,Insurance Policy Processing Clerks,"Review and verify data, such as age, name, address, and principal sum and value of property on insurance applications and policies."
43-9041.02,Insurance Policy Processing Clerks,"Organize and work with detailed office or warehouse records, maintaining files for each policyholder, including policies that are to be reinstated or cancelled."
43-9041.02,Insurance Policy Processing Clerks,"Examine letters from policyholders or agents, original insurance applications, and other company documents to determine if changes are needed and effects of changes."
43-9041.02,Insurance Policy Processing Clerks,Correspond with insured or agent to obtain information or inform them of account status or changes.
43-9041.02,Insurance Policy Processing Clerks,Transcribe data to worksheets and enter data into computer for use in preparing documents and adjusting accounts.
43-9041.02,Insurance Policy Processing Clerks,Notify insurance agent and accounting department of policy cancellation.
43-9041.02,Insurance Policy Processing Clerks,Interview clients and take their calls to provide customer service and obtain information on claims.
43-9041.02,Insurance Policy Processing Clerks,Compare information from application to criteria for policy reinstatement and approve reinstatement when criteria are met.
43-9041.02,Insurance Policy Processing Clerks,"Process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers."
43-9041.02,Insurance Policy Processing Clerks,Collect initial premiums and issue receipts.
43-9041.02,Insurance Policy Processing Clerks,"Calculate premiums, refunds, commissions, adjustments, and new reserve requirements, using insurance rate standards."
43-9041.02,Insurance Policy Processing Clerks,Obtain computer printout of policy cancellations or retrieve cancellation cards from file.
43-9041.02,Insurance Policy Processing Clerks,"Compose business correspondence for supervisors, managers, and professionals."
43-9041.02,Insurance Policy Processing Clerks,"Check computations of interest accrued, premiums due, and settlement surrender on loan values."
43-9061.00,"Office Clerks, General","Collect, count, and disburse money, do basic bookkeeping, and complete banking transactions."
43-9061.00,"Office Clerks, General","Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints."
43-9061.00,"Office Clerks, General","Answer telephones, direct calls, and take messages."
43-9061.00,"Office Clerks, General","Compile, copy, sort, and file records of office activities, business transactions, and other activities."
43-9061.00,"Office Clerks, General","Complete and mail bills, contracts, policies, invoices, or checks."
43-9061.00,"Office Clerks, General","Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers."
43-9061.00,"Office Clerks, General","Compute, record, and proofread data and other information, such as records or reports."
43-9061.00,"Office Clerks, General","Maintain and update filing, inventory, mailing, and database systems, either manually or using a computer."
43-9061.00,"Office Clerks, General","Open, sort, and route incoming mail, answer correspondence, and prepare outgoing mail."
43-9061.00,"Office Clerks, General","Review files, records, and other documents to obtain information to respond to requests."
43-9061.00,"Office Clerks, General",Deliver messages and run errands.
43-9061.00,"Office Clerks, General","Inventory and order materials, supplies, and services."
43-9061.00,"Office Clerks, General","Complete work schedules, manage calendars, and arrange appointments."
43-9061.00,"Office Clerks, General","Process and prepare documents, such as business or government forms and expense reports."
43-9061.00,"Office Clerks, General",Monitor and direct the work of lower-level clerks.
43-9061.00,"Office Clerks, General","Type, format, proofread, and edit correspondence and other documents, from notes or dictating machines, using computers or typewriters."
43-9061.00,"Office Clerks, General","Count, weigh, measure, or organize materials."
43-9061.00,"Office Clerks, General","Train other staff members to perform work activities, such as using computer applications."
43-9061.00,"Office Clerks, General","Prepare meeting agendas, attend meetings, and record and transcribe minutes."
43-9061.00,"Office Clerks, General","Troubleshoot problems involving office equipment, such as computer hardware and software."
43-9061.00,"Office Clerks, General",Make travel arrangements for office personnel.
47-2031.01,Construction Carpenters,"Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge."
47-2031.01,Construction Carpenters,Follow established safety rules and regulations and maintain a safe and clean environment.
47-2031.01,Construction Carpenters,"Verify trueness of structure, using plumb bob and level."
47-2031.01,Construction Carpenters,"Shape or cut materials to specified measurements, using hand tools, machines, or power saws."
47-2031.01,Construction Carpenters,"Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required."
47-2031.01,Construction Carpenters,"Assemble and fasten materials to make frameworks or props, using hand tools and wood screws, nails, dowel pins, or glue."
47-2031.01,Construction Carpenters,"Build or repair cabinets, doors, frameworks, floors, or other wooden fixtures used in buildings, using woodworking machines, carpenter's hand tools, or power tools."
47-2031.01,Construction Carpenters,Erect scaffolding or ladders for assembling structures above ground level.
47-2031.01,Construction Carpenters,"Remove damaged or defective parts or sections of structures and repair or replace, using hand tools."
47-2031.01,Construction Carpenters,"Install structures or fixtures, such as windows, frames, floorings, trim, or hardware, using carpenters' hand or power tools."
47-2031.01,Construction Carpenters,Select and order lumber or other required materials.
47-2031.01,Construction Carpenters,"Maintain records, document actions, and present written progress reports."
47-2031.01,Construction Carpenters,"Finish surfaces of woodwork or wallboard in houses or buildings, using paint, hand tools, or paneling."
47-2031.01,Construction Carpenters,Prepare cost estimates for clients or employers.
47-2031.01,Construction Carpenters,"Arrange for subcontractors to deal with special areas, such as heating or electrical wiring work."
47-2031.01,Construction Carpenters,"Inspect ceiling or floor tile, wall coverings, siding, glass, or woodwork to detect broken or damaged structures."
47-2031.01,Construction Carpenters,Work with or remove hazardous material.
47-2031.01,Construction Carpenters,Construct forms or chutes for pouring concrete.
47-2031.01,Construction Carpenters,"Cover subfloors with building paper to keep out moisture and lay hardwood, parquet, or wood-strip-block floors by nailing floors to subfloor or cementing them to mastic or asphalt base."
47-2031.01,Construction Carpenters,"Fill cracks or other defects in plaster or plasterboard and sand patch, using patching plaster, trowel, and sanding tool."
47-2031.01,Construction Carpenters,"Perform minor plumbing, welding, or concrete mixing work."
47-2031.01,Construction Carpenters,"Apply shock-absorbing, sound-deadening, or decorative paneling to ceilings or walls."
47-4011.00,Construction and Building Inspectors,"Inspect bridges, dams, highways, buildings, wiring, plumbing, electrical circuits, sewers, heating systems, or foundations during and after construction for structural quality, general safety, or conformance to specifications and codes."
47-4011.00,Construction and Building Inspectors,Maintain daily logs and supplement inspection records with photographs.
47-4011.00,Construction and Building Inspectors,"Review and interpret plans, blueprints, site layouts, specifications, or construction methods to ensure compliance to legal requirements and safety regulations."
47-4011.00,Construction and Building Inspectors,"Inspect and monitor construction sites to ensure adherence to safety standards, building codes, or specifications."
47-4011.00,Construction and Building Inspectors,"Measure dimensions and verify level, alignment, or elevation of structures or fixtures to ensure compliance to building plans and codes."
47-4011.00,Construction and Building Inspectors,"Issue permits for construction, relocation, demolition, or occupancy."
47-4011.00,Construction and Building Inspectors,"Monitor installation of plumbing, wiring, equipment, or appliances to ensure that installation is performed properly and is in compliance with applicable regulations."
47-4011.00,Construction and Building Inspectors,"Train, direct, or supervise other construction inspectors."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Perform scheduled preventive maintenance tasks, such as checking, cleaning, or repairing equipment, to detect and prevent problems."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Examine work orders and converse with equipment operators to detect equipment problems and to ascertain whether mechanical or human errors contributed to the problems.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Set up and test industrial equipment to ensure that it functions properly.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Operate equipment to demonstrate proper use or to analyze malfunctions.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Test faulty equipment to diagnose malfunctions, using test equipment or software, and applying knowledge of the functional operation of electronic units and systems."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Repair or adjust equipment, machines, or defective components, replacing worn parts, such as gaskets or seals in watertight electrical equipment."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Calibrate testing instruments and installed or repaired equipment to prescribed specifications.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Advise management regarding customer satisfaction, product performance, or suggestions for product improvements."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Inspect components of industrial equipment for accurate assembly and installation or for defects, such as loose connections or frayed wires."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Study blueprints, schematics, manuals, or other specifications to determine installation procedures."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Maintain equipment logs that record performance problems, repairs, calibrations, or tests."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Coordinate efforts with other workers involved in installing or maintaining equipment or components.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Maintain inventory of spare parts.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Consult with customers, supervisors, or engineers to plan layout of equipment or to resolve problems in system operation or maintenance."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Send defective units to the manufacturer or to a specialized repair shop for repair.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Install repaired equipment in various settings, such as industrial or military establishments."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Determine feasibility of using standardized equipment or develop specifications for equipment required to perform additional functions.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Enter information into computer to copy program or to draw, modify, or store schematics, applying knowledge of software package used."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Sign overhaul documents for equipment replaced or repaired.
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Develop or modify industrial electronic devices, circuits, or equipment, according to available specifications."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Repair or replace defective equipment, components, or wiring."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Test electrical circuits or components for continuity, using electrical test equipment."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,Inspect and test systems to verify system compliance with plans and specifications or to detect and locate malfunctions.
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Test pipe or tubing joints or connections for leaks, using pressure gauge or soap-and-water solution."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Recommend, develop, or perform preventive or general maintenance procedures, such as cleaning, power-washing, or vacuuming equipment, oiling parts, or changing filters."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Lay out and connect electrical wiring between controls and equipment, according to wiring diagrams, using electrician's hand tools."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Cut or drill holes in floors, walls, or roof to install equipment, using power saws or drills."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Measure, cut, thread, or bend pipe or tubing, using pipe fitter's tools."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Fabricate, assemble, or install duct work or chassis parts, using portable metal-working tools or welding equipment."
51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Add chemicals, such as ammonia, chlorine, or lime, to disinfect and deodorize water and other liquids."
51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Operate and adjust controls on equipment to purify and clarify water, process or dispose of sewage, and generate power."
51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Inspect equipment or monitor operating conditions, meters, and gauges to determine load requirements and detect malfunctions."
51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Collect and test water and sewage samples, using test equipment and color analysis standards."
51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Record operational data, personnel attendance, or meter and gauge readings on specified forms."
51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Maintain, repair, and lubricate equipment, using hand tools and power tools."
51-8031.00,Water and Wastewater Treatment Plant and System Operators,Direct and coordinate plant workers engaged in routine operations and maintenance activities.
11-1021.00,General and Operations Managers,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."
11-1021.00,General and Operations Managers,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory."
11-1021.00,General and Operations Managers,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions."
11-1021.00,General and Operations Managers,"Direct non-merchandising departments of businesses, such as advertising or purchasing."
11-1021.00,General and Operations Managers,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities."
11-1021.00,General and Operations Managers,Plan store layouts or design displays.
11-2021.00,Marketing Managers,"Develop pricing strategies, balancing firm objectives and customer satisfaction."
11-2021.00,Marketing Managers,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors."
11-2021.00,Marketing Managers,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections."
11-2021.00,Marketing Managers,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities."
11-2021.00,Marketing Managers,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies."
11-2021.00,Marketing Managers,"Consult with product development personnel on product specifications, such as design, color, or packaging."
11-2021.00,Marketing Managers,Compile lists describing product or service offerings.
11-2021.00,Marketing Managers,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends."
11-2021.00,Marketing Managers,Select products or accessories to be displayed at trade or special production shows.
11-2021.00,Marketing Managers,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors."
11-2021.00,Marketing Managers,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services."
11-2021.00,Marketing Managers,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services."
11-2021.00,Marketing Managers,"Initiate market research studies, or analyze their findings."
11-2021.00,Marketing Managers,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.
11-2021.00,Marketing Managers,Conduct economic or commercial surveys to identify potential markets for products or services.
11-3021.00,Computer and Information Systems Managers,"Manage backup, security and user help systems."
11-3021.00,Computer and Information Systems Managers,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements."
11-3021.00,Computer and Information Systems Managers,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines."
11-3021.00,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers."
11-3021.00,Computer and Information Systems Managers,Stay abreast of advances in technology.
11-3021.00,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery."
11-3021.00,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.
11-3021.00,Computer and Information Systems Managers,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades."
11-3021.00,Computer and Information Systems Managers,Control operational budget and expenditures.
11-3021.00,Computer and Information Systems Managers,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems."
11-3021.00,Computer and Information Systems Managers,"Develop and interpret organizational goals, policies, and procedures."
11-3021.00,Computer and Information Systems Managers,"Recruit, hire, train and supervise staff, or participate in staffing decisions."
11-3021.00,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.
11-3021.00,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.
11-3021.00,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.
11-3021.00,Computer and Information Systems Managers,Purchase necessary equipment.
11-3121.00,Human Resources Managers,"Administer compensation, benefits, and performance management systems, and safety and recreation programs."
11-3121.00,Human Resources Managers,"Identify staff vacancies and recruit, interview, and select applicants."
11-3121.00,Human Resources Managers,"Allocate human resources, ensuring appropriate matches between personnel."
11-3121.00,Human Resources Managers,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits."
11-3121.00,Human Resources Managers,"Perform difficult staffing duties, including dealing with understaffing, refereeing disputes, firing employees, and administering disciplinary procedures."
11-3121.00,Human Resources Managers,"Advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes."
11-3121.00,Human Resources Managers,Analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.
11-3121.00,Human Resources Managers,Plan and conduct new employee orientation to foster positive attitude toward organizational objectives.
11-3121.00,Human Resources Managers,"Serve as a link between management and employees by handling questions, interpreting and administering contracts and helping resolve work-related problems."
11-3121.00,Human Resources Managers,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations."
11-3121.00,Human Resources Managers,"Analyze training needs to design employee development, language training, and health and safety programs."
11-3121.00,Human Resources Managers,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates."
11-3121.00,Human Resources Managers,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.
11-3121.00,Human Resources Managers,"Plan, organize, direct, control, or coordinate the personnel, training, or labor relations activities of an organization."
11-3121.00,Human Resources Managers,Conduct exit interviews to identify reasons for employee termination.
11-3121.00,Human Resources Managers,Investigate and report on industrial accidents for insurance carriers.
11-3121.00,Human Resources Managers,Represent organization at personnel-related hearings and investigations.
11-3121.00,Human Resources Managers,Negotiate bargaining agreements and help interpret labor contracts.
11-3121.00,Human Resources Managers,Prepare personnel forecast to project employment needs.
11-3121.00,Human Resources Managers,Prepare and follow budgets for personnel operations.
11-3121.00,Human Resources Managers,"Develop, administer, and evaluate applicant tests."
11-3121.00,Human Resources Managers,"Oversee the evaluation, classification, and rating of occupations and job positions."
11-3121.00,Human Resources Managers,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends."
11-3121.00,Human Resources Managers,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards."
11-3121.00,Human Resources Managers,Provide terminated employees with outplacement or relocation assistance.
11-3121.00,Human Resources Managers,"Contract with vendors to provide employee services, such as food service, transportation, or relocation service."
11-3131.00,Training and Development Managers,Conduct orientation sessions and arrange on-the-job training for new hires.
11-3131.00,Training and Development Managers,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement."
11-3131.00,Training and Development Managers,Develop testing and evaluation procedures.
11-3131.00,Training and Development Managers,Conduct or arrange for ongoing technical training and personal development classes for staff members.
11-3131.00,Training and Development Managers,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors."
11-3131.00,Training and Development Managers,"Develop and organize training manuals, multimedia visual aids, and other educational materials."
11-3131.00,Training and Development Managers,"Plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops."
11-3131.00,Training and Development Managers,Analyze training needs to develop new training programs or modify and improve existing programs.
11-3131.00,Training and Development Managers,Review and evaluate training and apprenticeship programs for compliance with government standards.
11-3131.00,Training and Development Managers,Train instructors and supervisors in techniques and skills for training and dealing with employees.
11-3131.00,Training and Development Managers,Coordinate established courses with technical and professional courses provided by community schools and designate training procedures.
11-3131.00,Training and Development Managers,Prepare training budget for department or organization.
11-3061.00,Purchasing Managers,Maintain records of goods ordered and received.
11-3061.00,Purchasing Managers,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales."
11-3061.00,Purchasing Managers,Prepare and process requisitions and purchase orders for supplies and equipment.
11-3061.00,Purchasing Managers,Control purchasing department budgets.
11-3061.00,Purchasing Managers,"Interview and hire staff, and oversee staff training."
11-3061.00,Purchasing Managers,Review purchase order claims and contracts for conformance to company policy.
11-3061.00,Purchasing Managers,Analyze market and delivery systems to assess present and future material availability.
11-3061.00,Purchasing Managers,"Develop and implement purchasing and contract management instructions, policies, and procedures."
11-3061.00,Purchasing Managers,"Participate in the development of specifications for equipment, products, or substitute materials."
11-3061.00,Purchasing Managers,"Resolve vendor or contractor grievances, and claims against suppliers."
11-3061.00,Purchasing Managers,Represent companies in negotiating contracts and formulating policies with suppliers.
11-3061.00,Purchasing Managers,"Review, evaluate, and approve specifications for issuing and awarding bids."
11-3061.00,Purchasing Managers,"Direct and coordinate activities of personnel engaged in buying, selling, and distributing materials, equipment, machinery, and supplies."
11-3061.00,Purchasing Managers,Prepare bid awards requiring board approval.
11-3061.00,Purchasing Managers,Prepare reports regarding market conditions and merchandise costs.
11-3061.00,Purchasing Managers,Administer online purchasing systems.
11-3061.00,Purchasing Managers,Arrange for disposal of surplus materials.
11-3071.01,Transportation Managers,"Direct activities related to dispatching, routing, or tracking transportation vehicles, such as aircraft or railroad cars."
11-3071.01,Transportation Managers,"Plan, organize, or manage the work of subordinate staff to ensure that the work is accomplished in a manner consistent with organizational requirements."
11-3071.01,Transportation Managers,Direct investigations to verify and resolve customer or shipper complaints.
11-3071.01,Transportation Managers,Serve as contact persons for all workers within assigned territories.
11-3071.01,Transportation Managers,"Collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives."
11-3071.01,Transportation Managers,"Promote safe work activities by conducting safety audits, attending company safety meetings, or meeting with individual staff members."
11-3071.01,Transportation Managers,"Develop criteria, application instructions, procedural manuals, or contracts for federal or state public transportation programs."
11-3071.01,Transportation Managers,Monitor spending to ensure that expenses are consistent with approved budgets.
11-3071.01,Transportation Managers,"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services."
11-3071.01,Transportation Managers,"Set operations policies and standards, including determining safety procedures for the handling of dangerous goods."
11-3071.01,Transportation Managers,Recommend or authorize capital expenditures for acquisition of new equipment or property to increase efficiency and services of operations department.
11-3071.01,Transportation Managers,"Prepare management recommendations, such as proposed fee and tariff increases or schedule changes."
11-3071.01,Transportation Managers,"Conduct employee training sessions on subjects such as hazardous material handling, employee orientation, quality improvement, or computer use."
11-3071.01,Transportation Managers,Provide administrative or technical assistance to those receiving transportation-related grants.
11-3071.01,Transportation Managers,"Direct procurement processes including equipment research and testing, vendor contracts, or requisitions approval."
11-9041.00,Architectural and Engineering Managers,"Confer with management, production, or marketing staff to discuss project specifications or procedures."
11-9041.00,Architectural and Engineering Managers,"Plan or direct the installation, testing, operation, maintenance, or repair of facilities or equipment."
11-9041.00,Architectural and Engineering Managers,"Present and explain proposals, reports, or findings to clients."
11-9041.00,Architectural and Engineering Managers,Consult or negotiate with clients to prepare project specifications.
11-9041.00,Architectural and Engineering Managers,"Administer highway planning, construction, or maintenance."
11-9041.00,Architectural and Engineering Managers,"Direct the engineering of water control, treatment, or distribution projects."
11-9051.00,Food Service Managers,Test cooked food by tasting and smelling it to ensure palatability and flavor conformity.
11-9051.00,Food Service Managers,"Investigate and resolve complaints regarding food quality, service, or accommodations."
11-9051.00,Food Service Managers,"Schedule and receive food and beverage deliveries, checking delivery contents to verify product quality and quantity."
11-9051.00,Food Service Managers,"Monitor food preparation methods, portion sizes, and garnishing and presentation of food to ensure that food is prepared and presented in an acceptable manner."
11-9051.00,Food Service Managers,"Monitor budgets and payroll records, and review financial transactions to ensure that expenditures are authorized and budgeted."
11-9051.00,Food Service Managers,Schedule staff hours and assign duties.
11-9051.00,Food Service Managers,"Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities."
11-9051.00,Food Service Managers,Coordinate assignments of cooking personnel to ensure economical use of food and timely preparation.
11-9051.00,Food Service Managers,Keep records required by government agencies regarding sanitation or food subsidies.
11-9051.00,Food Service Managers,Establish standards for personnel performance and customer service.
11-9051.00,Food Service Managers,"Estimate food, liquor, wine, and other beverage consumption to anticipate amounts to be purchased or requisitioned."
11-9051.00,Food Service Managers,"Review work procedures and operational problems to determine ways to improve service, performance, or safety."
11-9051.00,Food Service Managers,"Perform some food preparation or service tasks, such as cooking, clearing tables, and serving food and drinks when necessary."
11-9051.00,Food Service Managers,"Maintain food and equipment inventories, and keep inventory records."
11-9051.00,Food Service Managers,"Organize and direct worker training programs, resolve personnel problems, hire new staff, and evaluate employee performance in dining and lodging facilities."
11-9051.00,Food Service Managers,Order and purchase equipment and supplies.
11-9051.00,Food Service Managers,"Review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items."
11-9051.00,Food Service Managers,"Record the number, type, and cost of items sold to determine which items may be unpopular or less profitable."
11-9051.00,Food Service Managers,"Assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs."
11-9051.00,Food Service Managers,"Arrange for equipment maintenance and repairs, and coordinate a variety of services, such as waste removal and pest control."
11-9051.00,Food Service Managers,Monitor employee and patron activities to ensure liquor regulations are obeyed.
